U93;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
900300;Head of State;Ahmad al-Hilla ;1934;1964;1964;FA;Pig-headed Isolationist;Very High;mauretania1;x
900301;Head of Government;Ahmad al-Hilla ;1934;1964;1964;FA;Happy Amateur;Very High;mauretania1;x
900302;Minister of Armament;Ahmad al-Hilla ;1934;1964;1964;FA;Infantry Proponent;Very High;mauretania1;x
900303;Head of Military Intelligence;Ahmad al-Hilla ;1934;1964;1964;FA;Political Specialist;Very High;mauretania1;x
900304;Chief of Staff;Ahmad al-Hilla ;1934;1964;1964;FA;School of Psychology;Very High;mauretania1;x
900305;Chief of Army;Ahmad al-Hilla ;1934;1964;1964;FA;Elastic Defence Doctrine;Very High;mauretania1;x
900306;Head of State;Moktar Ould Daddah;1944;1964;1964;PA;Powerhungry Demagogue;Very High;mauretania2;x
900307;Head of Government;Moktar Ould Daddah;1944;1964;1964;PA;Corporate Suit;Very High;mauretania2;x
900308;Foreign Minister;Moktar Ould Daddah;1944;1964;1964;PA;Apologetic Clerk;Very High;mauretania2;x
900309;Minister of Armament;Moktar Ould Daddah;1944;1964;1964;PA;Corrupt Kleptocrat;Very High;mauretania2;x
900310;Minister of Security;Moktar Ould Daddah;1944;1964;1964;PA;Man of the People;Very High;mauretania2;x
900311;Head of State;Henri Gouraud;1934;1964;1964;SC;Resigned Generalissimo;Very High;mauretania3;x
900312;Head of Government;Xavier Coppolani;1934;1964;1964;SC;Happy Amateur;Very High;mauretania4;x
900313;Foreign Minister;Henri Gouraud;1934;1964;1964;SC;Ideological Crusader;Very High;mauretania3;x
900314;Minister of Armament;Xavier Coppolani;1934;1964;1964;SC;Laissez-faire Capitalist;Very High;mauretania4;x
900315;Minister of Security;Xavier Coppolani;1934;1964;1964;SC;Silent Lawyer;Very High;mauretania4;x
900316;Head of Military Intelligence;Paul Aubert;1934;1964;1964;ML;Naval Intelligence Specialist;Very High;mauretania5;x
900317;Chief of Staff;Jean Bréchignac;1934;1964;1964;SC;School of Fire Support;Very High;unknown;x
900318;Chief of Army;Jean Bréchignac;1934;1964;1964;SC;Decisive Battle Doctrine;Very High;unknown;x
900319;Chief of Navy;Paul Aubert;1934;1964;1964;ML;Decisive Naval Battle Doctrine;Very High;mauretania5;x
900320;Chief of Air Force;Paul Aubert;1934;1964;1964;ML;Naval Aviation Doctrine;Very High;mauretania5;x
900321;Head of State;Jules Marcel de Coppet;1936;1964;1964;ML;Barking Buffoon;Very High;M900321;x
900322;Head of Government;Jules Marcel de Coppet;1936;1964;1964;ML;Political Protege;Very High;M900321;x
900323;Head of State;Oswald Durand;1937;1964;1964;ML;Ruthless Powermonger;Very High;M900323;x
900324;Head of Government;Oswald Durand;1937;1964;1964;ML;Old Airmarshal;Very High;M900323;x
900325;Head of State;Jean Louis Beyries;1939;1964;1964;ML;Barking Buffoon;Very High;M900325;x
900326;Head of Government;Jean Louis Beyries;1939;1964;1964;ML;Old Airmarshal;Very High;M900325;x
900327;Head of State;Christian Laigret;1944;1964;1964;ML;Insignificant Layman;Very High;M900327;x
900328;Head of Government;Christian Laigret;1944;1964;1964;ML;Corporate Suit;Very High;M900327;x
900329;Head of State;René Babin;1945;1964;1964;ML;Autocratic Charmer;Very High;M900329;x
900330;Head of Government;René Babin;1945;1964;1964;ML;Old Admiral;Very High;M900329;x
900331;Head of State;Georges Poirier;1946;1964;1964;ML;Weary Stiffneck;Very High;M900331;x
900332;Head of Government;Georges Poirier;1946;1964;1964;ML;Old Airmarshal;Very High;M900331;x
900333;Head of State;Lucien Geay;1947;1964;1964;ML;Pig-Headed Isolationist;Very High;M900333;x
900334;Head of Government;Lucien Geay;1947;1964;1964;ML;Old Admiral;Very High;M900333;x
900335;Head of State;Henry de Mauduit;1948;1964;1964;ML;Weary Stiffneck;Very High;M900335;x
900336;Head of Government;Henry de Mauduit;1948;1964;1964;ML;Political Protege;Very High;M900335;x
900337;Head of State;Edouard Terrac;1949;1964;1964;ML;Autocratic Charmer;Very High;M900337;x
900338;Head of Government;Edouard Terrac;1949;1964;1964;ML;Old Admiral;Very High;M900337;x
900339;Head of State;Jacques Rogué;1951;1964;1964;ML;Die-Hard Reformer;Very High;M900339;x
900340;Head of Government;Jacques Rogué;1951;1964;1964;ML;Happy Amateur;Very High;M900339;x
900341;Head of State;Pierre Messmer;1952;1964;1964;ML;Die-Hard Reformer;Very High;M900341;x
900342;Head of Government;Pierre Messmer;1952;1964;1964;ML;Silent Workhorse;Very High;M900341;x
900343;Head of State;Albert Jean Mouragues;1954;1964;1964;ML;Popular Figurehead;Very High;M900343;x
900344;Head of Government;Albert Jean Mouragues;1954;1964;1964;ML;Silent Workhorse;Very High;M900343;x
900345;Head of State;Jean Paul Parisot;1955;1964;1964;ML;Insignificant Layman;Very High;M900345;x
900346;Head of Government;Jean Paul Parisot;1955;1964;1964;ML;Backroom Backstabber;Very High;M900345;x
900347;Head of State;Henri Bernard;1959;1964;1964;ML;Die-Hard Reformer;Very High;M900347;x
900348;Head of State;Amédée Anthonioz;1960;1964;1964;ML;Pig-Headed Isolationist;Very High;M900348;x
