U91;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
1270002;Head of Government;Helal Al-Mutairi;1933;1964;1964;SC;Corporate Suit;Very High;8586;X
1270004;Minister of Armament;Helal Al-Mutairi;1933;1964;1964;SC;Resource Industrialist;Very High;8586;X
1270006;Head of Military Intelligence;John More;1933;1964;1964;SL;Political Specialist;Very High;unknownminister;X
1270007;Chief of Staff;John More;1933;1964;1964;SL;School of Mass Combat;Very High;unknownminister;X
1270008;Chief of Army;John More;1933;1964;1964;SL;Guns and Butter Doctrine;Very High;unknownminister;X
1270009;Chief of Navy;John More;1933;1964;1964;SL;Open Seas Doctrine;Very High;unknownminister;X
1270010;Chief of Air Force;John More;1933;1964;1964;SL;Army Aviation Doctrine;Very High;unknownminister;X
1270021;Head of State;Mubarak Al-Sabah;1896;1915;1964;PA;Powerhungry Demagogue;Very High;6053;X
1270022;Head of Government;Mubarak Al-Sabah;1896;1915;1964;PA;Flamboyant Tough Guy;Very High;6053;X
1270023;Foreign Minister;Mubarak Al-Sabah;1896;1915;1964;PA;Ideological Crusader;Very High;6053;X
1270024;Minister of Armament;Mubarak Al-Sabah;1896;1915;1964;PA;laissez-faire capitalist;Very High;6053;X
1270025;Minister of Security;Mubarak Al-Sabah;1896;1915;1964;PA;Prince of Terror;Very High;6053;X
1270026;Head of Military Intelligence;Mubarak Al-Sabah;1896;1915;1964;PA;Logistics Specialist;Very High;6053;X
1270027;Chief of Staff;Mubarak Al-Sabah;1896;1915;1964;PA;School of Defence;Very High;6053;X
1270028;Chief of Army;Mubarak Al-Sabah;1896;1915;1964;PA;Guns and Butter Doctrine;Very High;6053;X
1270031;Head of State;Jaber II Al-Sabah;1915;1917;1964;PA;Powerhungry Demagogue;Very High;unknownminister;X
1270032;Head of Government;Jaber II Al-Sabah;1915;1917;1964;PA;Flamboyant Tough Guy;Very High;unknownminister;X
1270033;Foreign Minister;Jaber II Al-Sabah;1915;1917;1964;PA;Ideological Crusader;Very High;unknownminister;X
1270034;Minister of Armament;Jaber II Al-Sabah;1915;1917;1964;PA;laissez-faire capitalist;Very High;unknownminister;X
1270035;Minister of Security;Jaber II Al-Sabah;1915;1917;1964;PA;Prince of Terror;Very High;unknownminister;X
1270036;Head of Military Intelligence;Jaber II Al-Sabah;1915;1917;1964;PA;Logistics Specialist;Very High;unknownminister;X
1270037;Chief of Staff;Jaber II Al-Sabah;1915;1917;1964;PA;School of Defence;Very High;unknownminister;X
1270038;Chief of Army;Jaber II Al-Sabah;1915;1917;1964;PA;Guns and Butter Doctrine;Very High;unknownminister;X
1270041;Head of State;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;Powerhungry Demagogue;Very High;6054;X
1270042;Head of Government;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;Flamboyant Tough Guy;Very High;6054;X
1270043;Foreign Minister;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;Ideological Crusader;Very High;6054;X
1270044;Minister of Armament;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;laissez-faire capitalist;Very High;6054;X
1270045;Minister of Security;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;Prince of Terror;Very High;6054;X
1270046;Head of Military Intelligence;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;Logistics Specialist;Very High;6054;X
1270047;Chief of Staff;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;School of Defence;Very High;6054;X
1270048;Chief of Army;Salim Al-Mubarak Al-Sabah;1917;1921;1964;PA;Guns and Butter Doctrine;Very High;6054;X
1270051;Head of State;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;Powerhungry Demagogue;Very High;6055;X
1270052;Head of Government;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;Flamboyant Tough Guy;Very High;6055;X
1270053;Foreign Minister;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;Ideological Crusader;Very High;6055;X
1270054;Minister of Armament;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;laissez-faire capitalist;Very High;6055;X
1270055;Minister of Security;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;Prince of Terror;Very High;6055;X
1270056;Head of Military Intelligence;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;Logistics Specialist;Very High;6055;X
1270057;Chief of Staff;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;School of Defence;Very High;6055;X
1270058;Chief of Army;Ahmad Al-Jaber Al-Sabah;1921;1950;1964;PA;Guns and Butter Doctrine;Very High;6055;X
1270061;Head of Government;William Henry Irvine Shakespear;1909;1915;1964;PA;Silent Workhorse;Very High;6056;X
1270062;Head of Government;William George Grey ;1915;1916;1964;PA;Silent Workhorse;Very High;unknownminister;X
1270063;Head of Government;Robert Edward Archibald Hamilton;1916;1918;1964;PA;Ambitious Union Boss;Very High;unknownminister;X
1270064;Head of Government;Daniel Vincent MacCollum;1918;1920;1964;PA;Smiling Oilman;Very High;unknownminister;X
1270065;Head of Government;James Carmichale More  ;1920;1930;1964;PA;Corporate Suit;Very High;unknownminister;X
1270066;Chief of Staff;Percy Zachariah Cox;1904;1932;1964;PA;School of Defence;Very High;6057;X
1270067;Chief of Army;Percy Zachariah Cox;1904;1932;1964;PA;Guns and Butter Doctrine;Very High;6057;X
1270068;Chief of Navy;Percy Zachariah Cox;1904;1932;1964;PA;Base Control Doctrine;Very High;6057;X
1270069;Chief of Air Force;Abdullah III Al-Salim Al-Sabah;1933;1964;1964;PA;Army Aviation Doctrine;Very High;unknownminister;X
1270070;Chief of Army;Abdullah III Al-Salim Al-Sabah;1933;1964;1964;PA;Guns and Butter Doctrine;Very High;unknownminister;X
1270071;Chief of Navy;Abdullah III Al-Salim Al-Sabah;1933;1964;1964;PA;Open Seas Doctrine;Very High;unknownminister;X
1270072;Chief of Staff;Ahmad Al-Jaber Al-Sabah;1933;1964;1964;PA;School of Mass Combat;Very High;unknownminister;X
1270073;Foreign Minister;Mulla Othman Al Othman;1933;1964;1964;PA;Great Compromiser;Very High;unknownminister;X
1270074;Head of Government;Ahmad Al-Jaber Al-Sabah;1933;1964;1964;PA;Naive Optimist;Very High;unknownminister;X
1270075;Head of Government;Abdullah III Al-Salim Al-Sabah;1939;1964;1964;PA;Corporate Suit;Very High;unknownminister;X
1270076;Head of Military Intelligence;Ahmad Al-Jaber Al-Sabah;1933;1964;1964;PA;Political Specialist;Very High;unknownminister;X
1270077;Head of State;Ahmad Al-Jaber Al-Sabah;1933;1964;1964;PA;Benevolent Gentleman;Very High;unknownminister;X
