U83;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
800300;Head of State;Solomon Bandaranaike;1936;1964;1964;SD;Die-hard Reformer;Very High;ceylon1;x
800301;Head of State;Colvin R. de Silva;1936;1964;1964;LE;Pig-headed Isolationist;Very High;ceylon10;x
800302;Head of State;Don Stephen Senanayake;1936;1964;1964;SC;Autocratic Charmer;Very High;ceylon7;x
800303;Head of Government;Solomon Bandaranaike;1936;1964;1964;SD;Silent Workhorse;Very High;ceylon1;x
800304;Head of Government;N. M. Perera;1936;1964;1964;LWR;Ambitious Union Boss;Very High;ceylon12;x
800305;Head of Government;Don Stephen Senanayake;1936;1964;1964;SC;Flamboyant Tough Guy;Very High;ceylon7;x
800306;Head of Government;Colvin R. de Silva;1936;1964;1964;LE;Backroom Backstabber;Very High;ceylon10;x
800307;Foreign Minister;John Kotelawala;1936;1964;1964;SC;General Staffer;Very High;ceylon8;x
800308;Foreign Minister;Edwin Wijeyeratne;1936;1964;1964;ML;Great Compromiser;Very High;ceylon2;x
800309;Foreign Minister;Philip Gunawardena;1936;1964;1964;ST;Great Compromiser;Very High;ceylon11;x
800310;Minister of Armament;Ernest De Silva;1936;1964;1964;ML;Laissez-Faire Capitalist;Very High;ceylon3;x
800311;Minister of Armament;John Kotelawala;1936;1964;1964;SC;Infantry Proponent;Very High;ceylon8;x
800312;Minister of Armament;Colvin R. de Silva;1936;1964;1964;LE;Administrative Genius;Very High;ceylon10;x
800313;Minister of Armament;N. M. Perera;1936;1964;1964;LWR;Laissez-Faire Capitalist;Very High;ceylon12;x
800314;Minister of Security;Colvin R. de Silva;1936;1964;1964;LE;Silent Lawyer;Very High;ceylon10;x
800315;Minister of Security;Solomon Bandaranaike;1936;1964;1964;SD;Compassionate Gentleman;Very High;ceylon1;x
800316;Minister of Security;C.W.W. Kannangara;1936;1964;1964;SL;Man of the People;Very High;ceylon9;x
800317;Minister of Security;Philip Gunawardena;1936;1964;1964;ST;Man of the People;Very High;ceylon11;x
800318;Head of Military Intelligence;James Peiris;1936;1964;1964;ML;Political Specialist;Very High;ceylon4;x
800319;Head of Military Intelligence;N. M. Perera;1936;1964;1964;LWR;Industrial Specialist;Very High;ceylon12;x
800320;Chief of Staff;John Kotelawala;1936;1964;1964;SC;School of Mass Combat;Very High;ceylon8;x
800321;Chief of Staff;James Sinclair;1936;1964;1964;ML;School of Mass Combat;Very High;ceylon5;x
800322;Chief of Army;James Sinclair;1936;1964;1964;ML;Guns and Butter Doctrine;Very High;ceylon5;x
800323;Chief of Army;John Kotelawala;1936;1964;1964;SC;Guns and Butter Doctrine;Very High;ceylon8;x
800324;Chief of Navy;W.E. Banks ;1936;1964;1964;ML;Open Seas Doctrine;Very High;ceylon6;x
800325;Chief of Air Force;Graham Bladon;1936;1964;1964;SL;Naval Aviation Doctrine;Very High;unknown;x
800326;Chief of Air Force;John Barker ;1936;1964;1964;ML;Army Aviation Doctrine;Very High;unknown;x
800327;Head of State;Reginald Edward Stubbs;1936;1964;1964;ML;Insignificant Layman;Very High;M800327;x
800328;Head of Government;Reginald Edward Stubbs;1936;1964;1964;ML;Silent Workhorse;Very High;M800327;x
800329;Head of State;Andrew Caldecott;1938;1964;1964;ML;Barking Buffoon;Very High;M800329;x
800330;Head of Government;Andrew Caldecott;1938;1964;1964;ML;Silent Workhorse;Very High;M800329;x
800331;Head of State;Henry Monck-Mason Moore;1945;1964;1964;ML;Autocratic Charmer;Very High;M800331;x
800332;Head of Government;Henry Monck-Mason Moore;1945;1964;1964;ML;Happy Amateur;Very High;M800331;x
800333;Head of State;Herwald Ramsbotham;1949;1964;1964;ML;Barking Buffoon;Very High;M800333;x
800334;Head of Government;Dudley Shelton Senanayake;1952;1964;1964;SD;Happy Amateur;Very High;M800334;x
800335;Head of State;Oliver Ernest Goonetilleke;1954;1964;1964;ML;Resigned Generalissimo;Very High;M800335;x
800336;Head of Government;John Kotelawala;1954;1964;1964;SC;Happy Amateur;Very High;ceylon8;x
800337;Head of Government;Wijeyananda Dahanayake;1959;1964;1964;SD;Corporate Suit;Very High;M800337;x
800338;Head of Government;Sirimavo Bandaranaike;1960;2001;2001;SD;Ambitious Union Boss;Very High;M800338;x
800339;Head of State;William Gopallawa;1962;1982;1982;SC;Stern Imperialist;Very High;M800339;x
