U97;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
9007001;Head of State;Abeid Karume;1939;1964;1964;LE;Die-hard Reformer;Very High;tanzania7;x
9007002;Head of State;Khalifa bin Harub of Zanzibar;1936;1964;1964;SC;Popular Figurehead;Very High;tanzania10;x
9007003;Head of State;Paul von Lettow-Vorbeck;1934;1964;1964;FA;Resigned Generalissimo;Very High;tanzania1;x
9007004;Head of Government;Julius Nyerere;1945;1964;1964;LWR;Corporate Suit;Very High;tanzania8;x
9007005;Head of Government;Khalifa bin Harub of Zanzibar;1936;1964;1964;SC;Naive Optimist;Very High;tanzania10;x
9007006;Head of Government;Heinrich Schnee;1934;1964;1964;FA;Flamboyant Tough Guy;Very High;tanzania2;x
9007007;Foreign Minister;Julius Nyerere;1945;1964;1964;LWR;General Staffer;Very High;tanzania8;x
9007008;Foreign Minister;Sir Mark Aitchinson Young;1936;1964;1964;SL;Biased Intellectual;Very High;tanzania9;x
9007009;Foreign Minister;Heinrich Schnee;1934;1964;1964;FA;Ideological Crusader;Very High;tanzania2;x
9007010;Foreign Minister;Ludwig Kohl-Larsen;1936;1964;1964;NS;Iron Fisted Brute;Very High;tanzania12;x
9007011;Minister of Armament;Julius Nyerere;1945;1964;1964;LWR;Military Entrepreneur;Very High;tanzania8;x
9007012;Minister of Armament;Khalifa bin Harub of Zanzibar;1936;1964;1964;SC;Military Entrepreneur;High;tanzania10;x
9007013;Minister of Armament;Paul von Lettow-Vorbeck;1934;1964;1964;FA;Infantry Proponent;Very High;tanzania1;x
9007014;Minister of Armament;Ludwig Kohl-Larsen;1936;1964;1964;NS;Theoretical Scientist;Very High;tanzania12;x
9007015;Minister of Armament;Mirisho Sarakikya;1945;1964;1964;LWR;Infantry Proponent;Very High;tanzania11;x
9007016;Minister of Security;Horace Hearne;1936;1964;1964;SL;Crime Fighter;Very High;unknown;x
9007017;Minister of Security;Laurean Rugambwa;1943;1964;1964;SC;Man of the People;Very High;unknown;x
9007018;Minister of Security;Heinrich Schnee;1934;1964;1964;FA;Silent Lawyer;Very High;tanzania1;x
9007019;Head of Military Intelligence;Horace Hearne;1936;1964;1964;SL;Political Specialist;Very High;unknown;x
9007020;Head of Military Intelligence;Karl Ebermaier;1936;1964;1964;FA;Political Specialist;Very High;tanzania5;x
9007021;Chief of Staff;Mirisho Sarakikya;1945;1964;1964;LWR;School of Defence;Very High;tanzania11;x
9007022;Chief of Staff;Bayume Mohamed Husen;1936;1964;1964;SC;School of Defence;Very High;unknown;x
9007023;Chief of Staff;Paul von Lettow-Vorbeck;1934;1964;1964;FA;School of Psychology;Very High;tanzania1;x
9007024;Chief of Army;Mirisho Sarakikya;1945;1964;1964;LWR;Elastic Defence Doctrine;Very High;tanzania11;x
9007025;Chief of Army;Bayume Mohamed Husen;1936;1964;1964;SC;Armoured Spearhead Doctrine;Very High;unknown;x
9007026;Chief of Army;Wilhelm Winterer;1936;1964;1964;FA;Elastic Defence Doctrine;Very High;tanzania6;x
9007027;Chief of Army;Paul von Lettow-Vorbeck;1934;1964;1964;FA;Guns and Butter Doctrine;Very High;tanzania1;x
9007028;Chief of Navy;Mirisho Sarakikya;1945;1964;1964;LWR;Base Control Doctrine;Very High;tanzania11;x
9007029;Chief of Navy;Max Looff;1934;1964;1964;PA;Base Control Doctrine;Very High;tanzania3;x
9007030;Chief of Air Force;Pierre van Ryneveld;1936;1964;1964;ML;Air Superiority Doctrine;Very High;tanzania4;x
9007031;Chief of Air Force;Otto Dessloch;1936;1964;1964;NS;Army Aviation Doctrine;High;L434;x
9007032;Head of State;Harold MacMichael;1936;1964;1964;SC;Popular Figurehead;High;M9007032;x
9007033;Head of Government;Harold MacMichael;1936;1964;1964;SC;Old General;High;M9007032;x
9007034;Head of State;Mark Young;1938;1964;1964;SC;Barking Buffoon;High;M9007034;x
9007035;Head of Government;Mark Young;1938;1964;1964;SC;Old Airmarshal;High;M9007034;x
9007036;Head of State;Wilfrid Jackson;1941;1964;1964;SC;Insignificant Layman;High;M9007036;x
9007037;Head of Government;Wilfrid Jackson;1941;1964;1964;SC;Old General;High;M9007036;x
9007038;Head of State;William Battershill;1945;1964;1964;SC;Autocratic Charmer;High;M9007038;x
9007039;Head of Government;William Battershill;1945;1964;1964;SC;Old Airmarshal;High;M9007038;x
9007040;Head of State;Edward Twining;1949;1964;1964;SC;Resigned Generalissimo;High;M9007040;x
9007041;Head of Government;Edward Twining;1949;1964;1964;SC;Smiling Oilman;High;M9007040;x
9007042;Head of State;Richard Turnbull;1958;1964;1964;SC;Autocratic Charmer;High;M9007042;x
9007043;Head of Government;Richard Turnbull;1958;1964;1964;SC;Corporate Suit;High;M9007042;x
9007044;Head of State;Julius Nyerere;1960;2000;2000;LWR;Insignificant Layman;Very High;tanzania8;x
9007045;Head of Government;Rashidi Kawawa;1962;2010;2010;LWR;Flamboyant Tough Guy;Very High;M9007045;x
