U95;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
900500;Head of State;Mutara III;1936;1964;1964;SC;Autocratic Charmer;Very High;M574001;x
900501;Head of Government;Eugène Jungers;1936;1964;1964;ML;Silent Workhorse;Very High;rwanda1;x
900502;Foreign Minister;Mutara III;1936;1964;1964;SC;Great Compromiser;Very High;M574001;x
900503;Minister of Armament;Auguste-Éduard Gilliaert;1936;1964;1964;SL;Military Entrepreneur;Very High;unknown;x
900504;Minister of Security;Mutara III;1936;1964;1964;SC;Man of the People;Very High;M574001;x
900505;Head of Military Intelligence;Eugène Jungers;1936;1964;1964;ML;Political Specialist;Very High;rwanda1;x
900506;Chief of Staff;Auguste-Éduard Gilliaert;1936;1964;1964;SL;School of Fire Support;Very High;unknown;x
900507;Chief of Army;Auguste-Éduard Gilliaert;1936;1964;1964;SL;Guns and Butter Doctrine;Very High;unknown;x
900508;Chief of Navy;Eugène Jungers;1936;1964;1964;ML;Base Control Doctrine;Very High;rwanda1;x
900509;Chief of Air Force;Eugène Jungers;1936;1964;1964;ML;Air Superiority Doctrine;Very High;rwanda1;x
900510;Head of State;Dominique Mbonyumutwa;1945;1964;1964;SD;Insignificant Layman;Very High;rwanda2;x
900511;Head of Government;Dominique Mbonyumutwa;1945;1964;1964;SD;Happy Amateur;Very High;rwanda2;x
900512;Foreign Minister;Sylvestre Nsanzimana;1948;1964;1964;LWR;Great Compromiser;Very High;rwanda3;x
900513;Minister of Armament;Théodore Sindikubwabo;1948;1964;1964;LWR;Theoretical Scientist;Very High;rwanda4;x
900514;Minister of Security;Grégoire Kayibanda;1948;1964;1964;LWR;Compassionate Gentleman;Very High;rwanda5;x
900515;Head of Military Intelligence;Sylvestre Nsanzimana;1948;1964;1964;LWR;Political Specialist;Very High;rwanda3;x
900516;Chief of Staff;Dominique Mbonyumutwa;1945;1964;1964;SD;School of Fire Support;Very High;rwanda2;x
900517;Chief of Army;Dominique Mbonyumutwa;1945;1964;1964;SD;Guns and Butter Doctrine;Very High;rwanda2;x
900518;Chief of Navy;Dominique Mbonyumutwa;1945;1964;1964;SD;Base Control Doctrine;Very High;rwanda2;x
900519;Chief of Air Force;Dominique Mbonyumutwa;1945;1964;1964;SD;Air Superiority Doctrine;Very High;rwanda2;x
900520;Head of State;Grégoire Kayibanda;1948;1964;1964;LWR;Pig-headed Isolationist;Very High;rwanda5;x
900521;Head of Government;Grégoire Kayibanda;1948;1964;1964;LWR;Corporate Suit;Very High;rwanda5;x
900522;Minister of Security;Elizaphan Ntakirutimana;1944;1964;1964;PA;Efficient Sociopath;Very High;unknown;x
900523;Head of Government;Joseph Gitera;1943;1964;1964;SC;Corporate Suit;Very High;unknown;x
900524;Minister of Armament;Joseph Gitera;1943;1964;1964;SC;Corrupt Kleptocrat;Very High;unknown;x
900525;Minister of Security;Nyamakwa III Nditunze;1934;1964;1964;PA;Crooked Kleptocrat;Very High;unknown;x
900526;Head of Military Intelligence;Nyamakwa III Nditunze;1934;1964;1964;PA;Logistics Specialist;Very High;unknown;x
900527;Chief of Staff;Joseph Gitera;1943;1964;1964;SC;School of Psychology;Very High;unknown;x
900528;Chief of Army;Mutara III;1936;1964;1964;SC;Armoured Spearhead Doctrine;Very High;M574001;x
900529;Foreign Minister;Otto Rusingizandekwe;1945;1964;1964;PA;The Cloak N Dagger Schemer;Very High;unknown;x
900530;Head of Government;Maurice Simon;1946;1964;1964;SC;Backroom Backstabber;Very High;M900530;x
900531;Head of Government;Léon Pétillon;1949;1964;1964;SC;Backroom Backstabber;Very High;M900531;x
900532;Head of Government;Alfred Claeys Bouuaert;1952;1964;1964;SC;Political Protege;Very High;M900532;x
900533;Head of Government;Jean-Paul Harroy;1955;1964;1964;SC;Ambitious Union Boss;Very High;M900533;x
900534;Head of State;Kigeli V;1959;1964;1964;PA;Benevolent Gentleman;Very High;M900534;x
