U25;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
940001;Head of State;Georgiy K. Zhukov;1933;1964;1964;ST;Weary Stiffneck;Very High;3197;X
940002;Head of Government;Vasily D. Sokolovsky;1933;1964;1964;ST;Happy Amateur;Very High;L10315;X
940003;Foreign Minister;Vladimir S. Semyonov;1933;1964;1964;ST;General Staffer;Very High;1005;X
940004;Minister of Armament;Maksim Z. Saburov;1933;1964;1964;ST;Theoretical Scientist;Very High;1004;X
940005;Minister of Security;Sergei I. Tiulpanov;1933;1964;1964;ST;Man of the People;Very High;2343;X
940006;Head of Military Intelligence;Ivan A. Serov;1933;1964;1964;ST;Technical Specialist;Very High;3025;X
940007;Chief of Staff;Georgiy K. Zhukov;1933;1964;1964;ST;School of Mass Combat;Very High;3197;X
940008;Chief of Army;Vasily D. Sokolovsky;1933;1964;1964;ST;Decisive Battle Doctrine;Very High;L10315;X
940009;Chief of Navy;Vissarion V. Grigoryev;1933;1964;1964;ST;Base Control Doctrine;Very High;1003;X
940010;Chief of Air Force;Sergei I. Rudenko;1933;1964;1964;ST;Army Aviation Doctrine;Very High;L10495;X
